"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Drew Bledsoe",26,"5",14,"263 for 481, 3,633 yards, 20 td, 14 int, & 28 rushes for 44 yards and 0 td","New England Patriots / 1st / 1st pick / 1993"
"3","RB","Robert Edwards",24,"Rook",15,"291 rushes for 1,115 yards, 9 td, & 35 catches for 331 yards and 3 td","New England Patriots / 1st / 18th pick / 1998"
"4","FB","Tony Carter",26,"4",7,"2 rushes for 3 yards, 0 td, & 18 catches for 166 yards and 0 td",""
"5","WR","Terry Glenn",24,"2",9,"50 catches for 792 yards, 3 td, & 2 rushes for -1 yards and 0 td","New England Patriots / 1st / 7th pick / 1996"
"6","WR","Shawn Jefferson",29,"7",16,"34 catches for 771 yards, 2 td, & 1 rush for 15 yards and 0 td","Houston Oilers / 9th / 240th pick / 1991"
"7","TE","Ben Coates*",29,"7",14,"67 catches for 668 yards, 6 td","New England Patriots / 5th / 124th pick / 1991"
"8","LT","Bruce Armstrong",33,"11",16,"3 fumbles recovered","New England Patriots / 1st / 23rd pick / 1987"
"9","LG","Max Lane",27,"4",11,"","New England Patriots / 6th / 168th pick / 1994"
"10","C","Dave Wohlabaugh",26,"3",16,"","New England Patriots / 4th / 112th pick / 1995"
"11","RG","Todd Rucci",28,"5",16,"","New England Patriots / 2nd / 51st pick / 1993"
"12","RT","Zefross Moss",32,"9",14,"",""
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Ferric Collons",29,"3",13,"",""
"15","LDT","Chad Eaton",26,"2",14,"6.0 sacks, 0 interceptions, 1 fumble recovered","Arizona Cardinals / 7th / 241st pick / 1995"
"16","RDT","Henry Thomas",33,"11",15,"6.5 sacks, 1 interception, 1 fumble recovered","Minnesota Vikings / 3rd / 72nd pick / 1987"
"17","RDE","Willie McGinest",27,"4",8,"3.5 sacks, 0 interceptions, 0 fumbles recovered","New England Patriots / 1st / 4th pick / 1994"
"18","LLB","Chris Slade",27,"5",15,"4.0 sacks, 0 interceptions, 0 fumbles recovered","New England Patriots / 2nd / 31st pick / 1993"
"19","MLB","Ted Johnson",26,"3",13,"2.0 sacks, 0 interceptions, 0 fumbles recovered","New England Patriots / 2nd / 57th pick / 1995"
"20","RLB","Todd Collins",28,"6",10,"","New England Patriots / 3rd / 64th pick / 1992"
"21","LCB","Ty Law*+",24,"3",16,"0.0 sacks, 9 interceptions, 1 fumble recovered","New England Patriots / 1st / 23rd pick / 1995"
"22","RCB","Chris Canty",22,"1",9,"1.0 sacks, 1 interception, 0 fumbles recovered","New England Patriots / 1st / 29th pick / 1997"
"23","SS","Lawyer Milloy*",25,"2",16,"1.0 sacks, 6 interceptions, 1 fumble recovered","New England Patriots / 2nd / 36th pick / 1996"
"24","FS","Willie Clay",28,"6",16,"0.0 sacks, 3 interceptions, 1 fumble recovered","Detroit Lions / 8th / 221st pick / 1992"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Adam Vinatieri",26,"2",0,"31 of 39 field goals & 32 of 32 extra points",""
"27","P","Tom Tupa",32,"10",0,"74 punts for a 44.5 average, 0 blocked","Phoenix Cardinals / 3rd / 68th pick / 1988"
"28","PR","Troy Brown",27,"5",0,"17 punt returns for a 13.2 average and 0 td","New England Patriots / 8th / 198th pick / 1993"
"29","KR","Derrick Cullors",26,"1",0,"45 kick returns for a 24.1 average and 0 td",""
