"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Tom Brady*",34,"11",16,"401 for 611, 5,235 yards, 39 td, 12 int, & 43 rushes for 109 yards and 3 td","New England Patriots / 6th / 199th pick / 2000"
"3","WR","Deion Branch",32,"9",15,"51 catches for 702 yards, 5 td","New England Patriots / 2nd / 65th pick / 2002"
"4","WR","Wes Welker*+",30,"7",15,"122 catches for 1,569 yards, 9 td, & 4 rushes for 30 yards and 0 td",""
"5","TE","Rob Gronkowski*+",22,"1",16,"90 catches for 1,327 yards, 17 td, & 1 rush for 2 yards and 1 td","New England Patriots / 2nd / 42nd pick / 2010"
"6","TE","Aaron Hernandez",22,"1",12,"79 catches for 910 yards, 7 td, & 5 rushes for 45 yards and 0 td","New England Patriots / 4th / 113th pick / 2010"
"7","LT","Matt Light",33,"10",15,"","New England Patriots / 2nd / 48th pick / 2001"
"8","LG","Logan Mankins*",29,"6",15,"","New England Patriots / 1st / 32nd pick / 2005"
"9","C","Dan Connolly",29,"6",11,"",""
"10","RG","Brian Waters*",34,"11",16,"",""
"11","RT","Nate Solder",23,"Rook",13,"","New England Patriots / 1st / 17th pick / 2011"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Andre Carter*",32,"10",14,"","San Francisco 49ers / 1st / 7th pick / 2001"
"14","DE","Shaun Ellis",34,"11",10,"","New York Jets / 1st / 12th pick / 2000"
"15","DT","Kyle Love",25,"1",13,"",""
"16","DT","Vince Wilfork*",30,"7",16,"","New England Patriots / 1st / 21st pick / 2004"
"17","LB","Jerod Mayo",25,"3",13,"","New England Patriots / 1st / 10th pick / 2008"
"18","LB","Rob Ninkovich",27,"5",16,"","New Orleans Saints / 5th / 135th pick / 2006"
"19","LCB","Devin McCourty",24,"1",14,"0.0 sacks, 2 interceptions, 0 fumbles recovered","New England Patriots / 1st / 27th pick / 2010"
"20","RCB","Kyle Arrington",25,"2",14,"0.0 sacks, 7 interceptions, 1 fumble recovered",""
"21","S","Patrick Chung",24,"2",8,"1.0 sacks, 1 interception, 0 fumbles recovered","New England Patriots / 2nd / 34th pick / 2009"
"22","S","James Ihedigbo",28,"3",12,"",""
