"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Phil Simms*",30,"6",16,"275 for 495, 3,829 yards, 22 td, 20 int, & 37 rushes for 132 yards and 0 td","New York Giants / 1st / 7th pick / 1979"
"3","RB","Joe Morris*",25,"3",16,"294 rushes for 1,336 yards, 21 td, & 22 catches for 212 yards and 0 td","New York Giants / 2nd / 45th pick / 1982"
"4","FB","Rob Carpenter",30,"8",10,"60 rushes for 201 yards, 0 td, & 20 catches for 162 yards and 0 td","Houston Oilers / 3rd / 84th pick / 1977"
"5","WR","Bobby Johnson",24,"1",15,"33 catches for 533 yards, 8 td",""
"6","WR","Lionel Manuel",23,"1",12,"49 catches for 859 yards, 5 td","New York Giants / 7th / 171st pick / 1984"
"7","TE","Mark Bavaro",22,"Rook",16,"37 catches for 511 yards, 4 td","New York Giants / 4th / 100th pick / 1985"
"8","LT","Brad Benson",30,"7",16,"","New England Patriots / 8th / 219th pick / 1977"
"9","LG","Billy Ard",26,"4",16,"","New York Giants / 8th / 221st pick / 1981"
"10","C","Bart Oates",27,"Rook",14,"2 fumbles recovered",""
"11","RG","Chris Godfrey",27,"5",16,"",""
"12","RT","Karl Nelson",25,"1",16,"1 fumble recovered","New York Giants / 3rd / 70th pick / 1983"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Curtis McGriff",27,"5",16,"0.0 sacks, 0 interceptions, 1 fumble recovered",""
"15","NT","Jim Burt",26,"4",15,"4.0 sacks, 0 interceptions, 2 fumbles recovered",""
"16","RDE","Leonard Marshall*",24,"2",16,"15.5 sacks, 1 interception, 0 fumbles recovered","New York Giants / 2nd / 37th pick / 1983"
"17","LOLB","Byron Hunt",27,"4",11,"1.5 sacks, 0 interceptions, 1 fumble recovered","New York Giants / 9th / 224th pick / 1981"
"18","LILB","Gary Reasons",23,"1",15,"0.5 sacks, 1 interception, 0 fumbles recovered","New York Giants / 4th / 105th pick / 1984"
"19","RILB","Harry Carson*",32,"9",16,"1.0 sacks, 0 interceptions, 0 fumbles recovered","New York Giants / 4th / 105th pick / 1976"
"20","ROLB","Lawrence Taylor*+",26,"4",16,"13.0 sacks, 0 interceptions, 2 fumbles recovered","New York Giants / 1st / 2nd pick / 1981"
"21","LCB","Elvis Patterson",25,"1",15,"0.5 sacks, 6 interceptions, 1 fumble recovered",""
"22","RCB","Perry Williams",24,"1",16,"2.0 sacks, 2 interceptions, 1 fumble recovered","New York Giants / 7th / 178th pick / 1983"
"23","SS","Kenny Hill",27,"4",11,"0.0 sacks, 2 interceptions, 2 fumbles recovered","Oakland Raiders / 8th / 194th pick / 1980"
"24","FS","Terry Kinard",26,"2",16,"1.0 sacks, 5 interceptions, 1 fumble recovered","New York Giants / 1st / 10th pick / 1983"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Eric Schubert",23,"Rook",0,"10 of 13 field goals & 26 of 27 extra points",""
"27","P","Sean Landeta",23,"Rook",0,"81 punts for a 42.9 average, 0 blocked",""
"28","PR","Phil McConkey",28,"1",0,"53 punt returns for a 8.3 average and 0 td",""
"29","KR","George Adams",23,"Rook",0,"14 kick returns for a 17.2 average and 0 td","New York Giants / 1st / 19th pick / 1985"
