"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,NA,NA,"",""
"2","QB","Eli Manning*",30,7,16,"359 for 589, 4,933 yards, 29 td, 16 int, & 35 rushes for 15 yards and 1 td","San Diego Chargers / 1st / 1st pick / 2004"
"3","RB","Ahmad Bradshaw",25,4,9,"171 rushes for 659 yards, 9 td, & 34 catches for 267 yards and 2 td","New York Giants / 7th / 250th pick / 2007"
"4","WR","Mario Manningham",25,3,10,"39 catches for 523 yards, 4 td","New York Giants / 3rd / 95th pick / 2008"
"5","WR","Hakeem Nicks",23,2,15,"76 catches for 1,192 yards, 7 td","New York Giants / 1st / 29th pick / 2009"
"6","TE","Jake Ballard",24,1,13,"38 catches for 604 yards, 4 td",""
"7","LT","Will Beatty",26,2,10,"","New York Giants / 2nd / 60th pick / 2009"
"8","LG","David Diehl",31,8,16,"1 fumble recovered","New York Giants / 5th / 160th pick / 2003"
"9","C","David Baas",30,6,11,"","San Francisco 49ers / 2nd / 33rd pick / 2005"
"10","RG","Chris Snee",29,7,15,"","New York Giants / 2nd / 34th pick / 2004"
"11","RT","Kareem McKenzie",32,10,16,"1 fumble recovered","New York Jets / 3rd / 79th pick / 2001"
"12","","Defensive Starters",NA,NA,NA,"",""
"13","DE","Jason Pierre-Paul*+",22,1,12,"","New York Giants / 1st / 15th pick / 2010"
"14","DE","Justin Tuck",28,6,11,"","New York Giants / 3rd / 74th pick / 2005"
"15","LDT","Linval Joseph",23,1,15,"2.0 sacks, 0 interceptions, 0 fumbles recovered","New York Giants / 2nd / 46th pick / 2010"
"16","RDT","Chris Canty",29,6,16,"4.0 sacks, 0 interceptions, 0 fumbles recovered","Dallas Cowboys / 4th / 132nd pick / 2005"
"17","LB","Michael Boley",29,6,13,"","Atlanta Falcons / 5th / 160th pick / 2005"
"18","LB","Mathias Kiwanuka",28,5,15,"","New York Giants / 1st / 32nd pick / 2006"
"19","LCB","Corey Webster",29,6,16,"0.0 sacks, 6 interceptions, 0 fumbles recovered","New York Giants / 2nd / 43rd pick / 2005"
"20","RCB","Aaron Ross",29,4,15,"0.0 sacks, 4 interceptions, 0 fumbles recovered","New York Giants / 1st / 20th pick / 2007"
"21","SS","Kenny Phillips",25,3,15,"0.0 sacks, 4 interceptions, 0 fumbles recovered","New York Giants / 1st / 31st pick / 2008"
"22","FS","Antrel Rolle",29,6,16,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Arizona Cardinals / 1st / 8th pick / 2005"
