"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Ken O'Brien",28,"4",12,"236 for 424, 2,567 yards, 15 td, 7 int, & 21 rushes for 25 yards and 0 td","New York Jets / 1st / 24th pick / 1983"
"3","RB","Freeman McNeil",29,"7",16,"219 rushes for 944 yards, 6 td, & 34 catches for 288 yards and 1 td","New York Jets / 1st / 3rd pick / 1981"
"4","FB","Roger Vick",24,"1",12,"128 rushes for 540 yards, 3 td, & 19 catches for 120 yards and 0 td","New York Jets / 1st / 21st pick / 1987"
"5","WR","Al Toon*",25,"3",15,"93 catches for 1,067 yards, 5 td, & 1 rush for 5 yards and 0 td","New York Jets / 1st / 10th pick / 1985"
"6","WR","Wesley Walker",33,"11",10,"26 catches for 551 yards, 7 td, & 1 rush for 12 yards and 0 td","New York Jets / 2nd / 33rd pick / 1977"
"7","TE","Mickey Shuler*",32,"10",15,"70 catches for 805 yards, 5 td","New York Jets / 3rd / 61st pick / 1978"
"8","LT","Jeff Criswell",24,"1",12,"",""
"9","LG","Mike Haight",26,"2",9,"","New York Jets / 1st / 22nd pick / 1986"
"10","C","Jim Sweeney",26,"4",16,"","New York Jets / 2nd / 37th pick / 1984"
"11","RG","Dan Alexander",33,"11",13,"","New York Jets / 8th / 200th pick / 1977"
"12","RT","Reggie McElroy",28,"5",16,"1 fumble recovered","New York Jets / 2nd / 51st pick / 1982"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Mark Gastineau",32,"9",7,"7.0 sacks, 0 interceptions, 1 fumble recovered","New York Jets / 2nd / 41st pick / 1979"
"15","NT","Scott Mersereau",23,"1",15,"4.5 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Rams / 5th / 136th pick / 1987"
"16","RDE","Marty Lyons",31,"9",16,"7.5 sacks, 0 interceptions, 2 fumbles recovered","New York Jets / 1st / 14th pick / 1979"
"17","LOLB","Alex Gordon",24,"1",12,"3.0 sacks, 0 interceptions, 1 fumble recovered","New York Jets / 2nd / 42nd pick / 1987"
"18","LILB","Troy Benson",25,"2",16,"2.0 sacks, 1 interception, 1 fumble recovered","New York Jets / 5th / 120th pick / 1985"
"19","RILB","Kyle Clifton",26,"4",15,"0.0 sacks, 0 interceptions, 2 fumbles recovered","New York Jets / 3rd / 64th pick / 1984"
"20","ROLB","Kevin McArthur",25,"2",16,"2.0 sacks, 1 interception, 0 fumbles recovered",""
"21","LCB","Bobby Humphery",27,"4",16,"2.0 sacks, 1 interception, 2 fumbles recovered","New York Jets / 9th / 247th pick / 1983"
"22","RCB","James Hasty",23,"Rook",15,"1.0 sacks, 5 interceptions, 3 fumbles recovered","New York Jets / 3rd / 74th pick / 1988"
"23","SS","Rich Miano",26,"3",16,"0.5 sacks, 2 interceptions, 0 fumbles recovered","New York Jets / 6th / 166th pick / 1985"
"24","FS","Erik McMillan*",23,"Rook",13,"0.0 sacks, 8 interceptions, 0 fumbles recovered","New York Jets / 3rd / 63rd pick / 1988"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Pat Leahy",37,"14",0,"23 of 28 field goals & 43 of 43 extra points",""
"27","P","Joe Prokop",28,"3",0,"85 punts for a 38.9 average, 0 blocked",""
"28","PR","Jo-Jo Townsell",28,"3",0,"35 punt returns for a 11.7 average and 1 td","New York Jets / 3rd / 78th pick / 1983"
"29","KR","Jo-Jo Townsell",28,"3",0,"31 kick returns for a 19.4 average and 0 td","New York Jets / 3rd / 78th pick / 1983"
