"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,NA,NA,"",""
"2","QB","Vinny Testaverde",38,14,16,"260 for 441, 2,752 yards, 15 td, 14 int, & 31 rushes for 25 yards and 0 td","Tampa Bay Buccaneers / 1st / 1st pick / 1987"
"3","RB","Curtis Martin*",28,6,16,"333 rushes for 1,513 yards, 10 td, & 53 catches for 320 yards and 0 td","New England Patriots / 3rd / 74th pick / 1995"
"4","FB","Richie Anderson",30,8,15,"26 rushes for 102 yards, 0 td, & 40 catches for 252 yards and 2 td","New York Jets / 6th / 144th pick / 1993"
"5","WR","Wayne Chrebet",28,6,15,"56 catches for 750 yards, 1 td",""
"6","WR","Laveranues Coles",24,1,16,"59 catches for 868 yards, 7 td, & 10 rushes for 108 yards and 0 td","New York Jets / 3rd / 78th pick / 2000"
"7","TE","Anthony Becht",24,1,15,"36 catches for 321 yards, 5 td","New York Jets / 1st / 27th pick / 2000"
"8","LT","Jason Fabini",27,3,16,"1 fumble recovered","New York Jets / 4th / 111th pick / 1998"
"9","LG","Kerry Jenkins",28,4,16,"",""
"10","C","Kevin Mawae*+",30,7,16,"","Seattle Seahawks / 2nd / 36th pick / 1994"
"11","RG","Randy Thomas",25,2,13,"1 fumble recovered","New York Jets / 2nd / 57th pick / 1999"
"12","RT","Ryan Young",25,2,16,"1 fumble recovered","New York Jets / 7th / 223rd pick / 1999"
"13","","Defensive Starters",NA,NA,NA,"",""
"14","DE","John Abraham*+",23,1,15,"","New York Jets / 1st / 13th pick / 2000"
"15","DE","Shaun Ellis",24,1,15,"","New York Jets / 1st / 12th pick / 2000"
"16","LDT","Shane Burton",27,5,13,"2.0 sacks, 1 interception, 0 fumbles recovered","Miami Dolphins / 5th / 150th pick / 1996"
"17","NT","Steve Martin",27,5,15,"2.5 sacks, 0 interceptions, 2 fumbles recovered","Indianapolis Colts / 5th / 151st pick / 1996"
"18","MLB","Marvin Jones",29,8,16,"1.0 sacks, 3 interceptions, 1 fumble recovered","New York Jets / 1st / 4th pick / 1993"
"19","LB","James Farrior",26,4,16,"","New York Jets / 1st / 8th pick / 1997"
"20","LB","Mo Lewis",32,10,16,"","New York Jets / 3rd / 63rd pick / 1991"
"21","LCB","Aaron Glenn",29,7,12,"0.0 sacks, 5 interceptions, 2 fumbles recovered","New York Jets / 1st / 12th pick / 1994"
"22","RCB","Marcus Coleman",27,5,15,"0.0 sacks, 2 interceptions, 1 fumble recovered","New York Jets / 5th / 133rd pick / 1996"
"23","SS","Victor Green",32,8,16,"0.0 sacks, 3 interceptions, 1 fumble recovered",""
"24","FS","Damien Robinson",28,3,14,"0.0 sacks, 2 interceptions, 1 fumble recovered","Philadelphia Eagles / 4th / 119th pick / 1997"
