"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Chris Chandler",30,"7",13,"225 for 356, 2,460 yards, 17 td, 10 int, & 28 rushes for 58 yards and 2 td","Indianapolis Colts / 3rd / 76th pick / 1988"
"3","RB","Rodney Thomas",22,"Rook",10,"251 rushes for 947 yards, 5 td, & 39 catches for 204 yards and 2 td","Houston Oilers / 3rd / 89th pick / 1995"
"4","WR","Haywood Jeffires",31,"8",16,"61 catches for 684 yards, 8 td","Houston Oilers / 1st / 20th pick / 1987"
"5","WR","Chris Sanders",23,"Rook",11,"35 catches for 823 yards, 9 td, & 2 rushes for -19 yards and 0 td","Houston Oilers / 3rd / 67th pick / 1995"
"6","TE","Roderick Lewis",24,"1",9,"16 catches for 116 yards, 0 td","Houston Oilers / 5th / 157th pick / 1994"
"7","TE","Frank Wycheck",24,"2",10,"40 catches for 471 yards, 1 td, & 1 rush for 1 yards and 1 td","Washington Redskins / 6th / 160th pick / 1993"
"8","LT","Brad Hopkins",25,"2",16,"3 fumbles recovered","Houston Oilers / 1st / 13th pick / 1993"
"9","LG","Bruce Matthews*",34,"12",16,"","Houston Oilers / 1st / 9th pick / 1983"
"10","C","Mark Stepnoski*",28,"6",16,"","Dallas Cowboys / 3rd / 57th pick / 1989"
"11","RG","Kevin Donnalley",27,"4",16,"1 fumble recovered","Houston Oilers / 3rd / 79th pick / 1991"
"12","RT","David Williams",29,"6",9,"","Houston Oilers / 1st / 23rd pick / 1989"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Kenny Davidson",28,"5",13,"2.0 sacks, 1 interception, 1 fumble recovered","Pittsburgh Steelers / 2nd / 43rd pick / 1990"
"15","LDT","Gary Walker",22,"Rook",9,"2.5 sacks, 0 interceptions, 0 fumbles recovered","Houston Oilers / 5th / 159th pick / 1995"
"16","RDT","Glenn Montgomery",28,"6",14,"2.0 sacks, 0 interceptions, 2 fumbles recovered","Houston Oilers / 5th / 131st pick / 1989"
"17","RDE","Henry Ford",24,"1",16,"4.5 sacks, 0 interceptions, 0 fumbles recovered","Houston Oilers / 1st / 26th pick / 1994"
"18","LLB","Eddie Robinson",25,"3",16,"3.5 sacks, 1 interception, 1 fumble recovered","Houston Oilers / 2nd / 50th pick / 1992"
"19","MLB","Micheal Barrow",25,"2",12,"3.0 sacks, 0 interceptions, 1 fumble recovered","Houston Oilers / 2nd / 47th pick / 1993"
"20","RLB","Joe Bowden",25,"3",14,"1.0 sacks, 0 interceptions, 1 fumble recovered","Houston Oilers / 5th / 133rd pick / 1992"
"21","LCB","Cris Dishman",30,"7",15,"0.0 sacks, 3 interceptions, 2 fumbles recovered","Houston Oilers / 5th / 125th pick / 1988"
"22","RCB","Darryll Lewis*",27,"4",15,"1.0 sacks, 6 interceptions, 0 fumbles recovered","Houston Oilers / 2nd / 38th pick / 1991"
"23","SS","Blaine Bishop*",25,"2",16,"1.5 sacks, 1 interception, 4 fumbles recovered","Houston Oilers / 8th / 214th pick / 1993"
"24","FS","Chuck Cecil",31,"7",13,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Green Bay Packers / 4th / 89th pick / 1988"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Al Del Greco",33,"11",0,"27 of 31 field goals & 33 of 33 extra points",""
"27","P","Rich Camarillo",36,"14",0,"77 punts for a 41.1 average, 1 blocked",""
"28","PR","Mel Gray",34,"9",0,"30 punt returns for a 10.1 average and 0 td","New Orleans Saints / 2nd / 42nd pick / 1984 Supp"
"29","KR","Mel Gray",34,"9",0,"53 kick returns for a 22.3 average and 0 td","New Orleans Saints / 2nd / 42nd pick / 1984 Supp"
