"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Steve McNair",28,"6",15,"264 for 431, 3,350 yards, 21 td, 12 int, & 75 rushes for 414 yards and 5 td","Houston Oilers / 1st / 3rd pick / 1995"
"3","RB","Eddie George",28,"5",16,"315 rushes for 939 yards, 5 td, & 37 catches for 279 yards and 0 td","Houston Oilers / 1st / 14th pick / 1996"
"4","WR","Kevin Dyson",26,"3",16,"54 catches for 825 yards, 7 td","Tennessee Oilers / 1st / 16th pick / 1998"
"5","WR","Derrick Mason",27,"4",15,"73 catches for 1,128 yards, 9 td","Tennessee Oilers / 4th / 98th pick / 1997"
"6","TE","Erron Kinney",24,"1",12,"25 catches for 263 yards, 1 td","Tennessee Titans / 3rd / 68th pick / 2000"
"7","TE","Frank Wycheck",30,"8",16,"60 catches for 672 yards, 4 td, & 1 rush for 1 yards and 0 td","Washington Redskins / 6th / 160th pick / 1993"
"8","LT","Brad Hopkins",31,"8",14,"","Houston Oilers / 1st / 13th pick / 1993"
"9","LG","Zach Piller",25,"2",9,"","Tennessee Titans / 3rd / 81st pick / 1999"
"10","C","Bruce Matthews*",40,"18",16,"","Houston Oilers / 1st / 9th pick / 1983"
"11","RG","Benji Olson",26,"3",16,"","Tennessee Oilers / 5th / 139th pick / 1998"
"12","RT","Fred Miller",28,"5",16,"","St. Louis Rams / 5th / 141st pick / 1996"
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Kevin Carter",28,"6",16,"","St. Louis Rams / 1st / 6th pick / 1995"
"15","DE","Jevon Kearse*",25,"2",16,"","Tennessee Titans / 1st / 16th pick / 1999"
"16","LDT","Josh Evans",29,"6",16,"5.5 sacks, 0 interceptions, 0 fumbles recovered",""
"17","RDT","Jason Fisk",29,"6",16,"2.5 sacks, 0 interceptions, 1 fumble recovered","Minnesota Vikings / 7th / 243rd pick / 1995"
"18","MLB","Randall Godfrey",28,"5",14,"1.0 sacks, 1 interception, 0 fumbles recovered","Dallas Cowboys / 2nd / 49th pick / 1996"
"19","LB","Greg Favors",27,"3",12,"","Kansas City Chiefs / 4th / 120th pick / 1998"
"20","LB","Eddie Robinson",31,"9",15,"","Houston Oilers / 2nd / 50th pick / 1992"
"21","LCB","Andre Dyson",22,"Rook",12,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Tennessee Titans / 2nd / 60th pick / 2001"
"22","RCB","Samari Rolle",25,"3",14,"2.0 sacks, 3 interceptions, 2 fumbles recovered","Tennessee Oilers / 2nd / 46th pick / 1998"
"23","SS","Aric Morris",24,"1",10,"1.5 sacks, 0 interceptions, 0 fumbles recovered","Tennessee Titans / 5th / 135th pick / 2000"
"24","FS","Perry Phenix",27,"3",11,"",""
