"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Ron Jaworski",30,"7",16,"250 for 461, 3,095 yards, 23 td, 20 int, & 22 rushes for 128 yards and 0 td","Los Angeles Rams / 2nd / 37th pick / 1973"
"3","RB","Wilbert Montgomery",27,"4",15,"286 rushes for 1,402 yards, 8 td, & 49 catches for 521 yards and 2 td","Philadelphia Eagles / 6th / 154th pick / 1977"
"4","FB","Hubie Oliver",24,"Rook",10,"75 rushes for 329 yards, 1 td, & 10 catches for 37 yards and 0 td","Philadelphia Eagles / 10th / 275th pick / 1981"
"5","WR","Harold Carmichael",32,"10",16,"61 catches for 1,028 yards, 6 td, & 1 rush for 1 yards and 0 td","Philadelphia Eagles / 7th / 161st pick / 1971"
"6","WR","Charlie Smith",31,"7",14,"38 catches for 564 yards, 4 td, & 2 rushes for 5 yards and 0 td",""
"7","TE","Keith Krepfle",29,"6",16,"20 catches for 210 yards, 5 td","Philadelphia Eagles / 5th / 115th pick / 1974"
"8","LT","Stan Walters",33,"9",16,"","Cincinnati Bengals / 9th / 210th pick / 1972"
"9","LG","Steve Kenney",26,"1",11,"2 fumbles recovered",""
"10","C","Guy Morriss",30,"8",16,"","Philadelphia Eagles / 2nd / 28th pick / 1973"
"11","RG","Ron Baker",27,"3",16,"","Baltimore Colts / 10th / 277th pick / 1977"
"12","RT","Jerry Sisemore*",30,"8",16,"","Philadelphia Eagles / 1st / 3rd pick / 1973"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Dennis Harrison",25,"3",12,"0 interceptions, 3 fumbles recovered","Philadelphia Eagles / 4th / 92nd pick / 1978"
"15","NT","Charlie Johnson*+",29,"4",16,"1 interception, 2 fumbles recovered","Philadelphia Eagles / 7th / 175th pick / 1977"
"16","RDE","Carl Hairston",29,"5",16,"0 interceptions, 1 fumble recovered","Philadelphia Eagles / 7th / 191st pick / 1976"
"17","LOLB","John Bunting",31,"9",8,"0 interceptions, 1 fumble recovered","Philadelphia Eagles / 10th / 248th pick / 1972"
"18","LILB","Al Chesley",24,"2",16,"2 interceptions, 2 fumbles recovered","Philadelphia Eagles / 11th / 296th pick / 1979"
"19","RILB","Frank LeMaster*",29,"7",16,"2 interceptions, 2 fumbles recovered","Philadelphia Eagles / 4th / 89th pick / 1974"
"20","ROLB","Jerry Robinson*",25,"2",15,"1 interception, 2 fumbles recovered","Philadelphia Eagles / 1st / 21st pick / 1979"
"21","LCB","Roynell Young*",24,"1",13,"4 interceptions, 0 fumbles recovered","Philadelphia Eagles / 1st / 23rd pick / 1980"
"22","RCB","Herm Edwards",27,"4",16,"3 interceptions, 1 fumble recovered",""
"23","SS","Randy Logan",30,"8",16,"2 interceptions, 1 fumble recovered","Philadelphia Eagles / 3rd / 55th pick / 1973"
"24","FS","Brenard Wilson",26,"2",15,"5 interceptions, 0 fumbles recovered",""
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Tony Franklin",25,"2",0,"20 of 31 field goals & 41 of 43 extra points","Philadelphia Eagles / 3rd / 74th pick / 1979"
"27","P","Max Runager",25,"2",0,"63 punts for a 40.7 average, 0 blocked","Philadelphia Eagles / 8th / 211th pick / 1979"
"28","PR","Wally Henry",27,"4",0,"54 punt returns for a 7.3 average and 0 td",""
"29","KR","Wally Henry",27,"4",0,"25 kick returns for a 21.3 average and 0 td",""
