"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Nick Foles",25,"2",8,"186 for 311, 2,163 yards, 13 td, 10 int, & 16 rushes for 68 yards and 0 td","Philadelphia Eagles / 3rd / 88th pick / 2012"
"3","QB","Mark Sanchez",28,"5",8,"198 for 309, 2,418 yards, 14 td, 11 int, & 34 rushes for 87 yards and 1 td","New York Jets / 1st / 5th pick / 2009"
"4","RB","LeSean McCoy*",26,"5",16,"312 rushes for 1,319 yards, 5 td, & 28 catches for 155 yards and 0 td","Philadelphia Eagles / 2nd / 53rd pick / 2009"
"5","WR","Riley Cooper",27,"4",16,"55 catches for 577 yards, 3 td","Philadelphia Eagles / 5th / 159th pick / 2010"
"6","WR","Jeremy Maclin",26,"5",16,"85 catches for 1,318 yards, 10 td","Philadelphia Eagles / 1st / 19th pick / 2009"
"7","WR","Jordan Matthews",22,"Rook",10,"67 catches for 872 yards, 8 td","Philadelphia Eagles / 2nd / 42nd pick / 2014"
"8","TE","Brent Celek",29,"7",15,"32 catches for 340 yards, 1 td","Philadelphia Eagles / 5th / 162nd pick / 2007"
"9","LT","Jason Peters*",32,"10",16,"",""
"10","LG","Evan Mathis*",33,"9",9,"","Carolina Panthers / 3rd / 79th pick / 2005"
"11","C","Jason Kelce*",27,"3",12,"","Philadelphia Eagles / 6th / 191st pick / 2011"
"12","RT","Lane Johnson",24,"1",12,"","Philadelphia Eagles / 1st / 4th pick / 2013"
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Fletcher Cox",24,"2",16,"","Philadelphia Eagles / 1st / 12th pick / 2012"
"15","DE","Cedric Thornton",26,"3",16,"",""
"16","NT","Bennie Logan",25,"1",16,"","Philadelphia Eagles / 3rd / 67th pick / 2013"
"17","LB","Connor Barwin*",28,"5",16,"","Houston Texans / 2nd / 46th pick / 2009"
"18","LB","Trent Cole",32,"9",15,"","Philadelphia Eagles / 5th / 146th pick / 2005"
"19","LB","Mychal Kendricks",24,"2",11,"","Philadelphia Eagles / 2nd / 46th pick / 2012"
"20","LB","Casey Matthews",25,"3",11,"","Philadelphia Eagles / 4th / 116th pick / 2011"
"21","LB","DeMeco Ryans",30,"8",8,"","Houston Texans / 2nd / 33rd pick / 2006"
"22","CB","Bradley Fletcher",28,"5",15,"0.0 sacks, 1 interception, 1 fumble recovered","St. Louis Rams / 3rd / 66th pick / 2009"
"23","CB","Cary Williams",30,"6",16,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Tennessee Titans / 7th / 229th pick / 2008"
"24","S","Nate Allen",27,"4",15,"1.0 sacks, 4 interceptions, 3 fumbles recovered","Philadelphia Eagles / 2nd / 37th pick / 2010"
"25","S","Malcolm Jenkins",27,"5",16,"0.0 sacks, 3 interceptions, 1 fumble recovered","New Orleans Saints / 1st / 14th pick / 2009"
