"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Terry Bradshaw*+",30,"8",16,"207 for 368, 2,915 yards, 28 td, 20 int, & 32 rushes for 93 yards and 1 td","Pittsburgh Steelers / 1st / 1st pick / 1970"
"3","RB","Rocky Bleier",32,"10",16,"165 rushes for 633 yards, 5 td, & 17 catches for 168 yards and 1 td","Pittsburgh Steelers / 16th / 417th pick / 1968"
"4","FB","Franco Harris*",28,"6",16,"310 rushes for 1,082 yards, 8 td, & 22 catches for 144 yards and 0 td","Pittsburgh Steelers / 1st / 13th pick / 1972"
"5","WR","John Stallworth",26,"4",16,"41 catches for 798 yards, 9 td","Pittsburgh Steelers / 4th / 82nd pick / 1974"
"6","WR","Lynn Swann*+",26,"4",16,"61 catches for 880 yards, 11 td, & 1 rush for 7 yards and 0 td","Pittsburgh Steelers / 1st / 21st pick / 1974"
"7","TE","Randy Grossman",26,"4",10,"37 catches for 448 yards, 1 td",""
"8","LT","Jon Kolb",31,"9",16,"1 fumble recovered","Pittsburgh Steelers / 3rd / 56th pick / 1969"
"9","LG","Sam Davis",34,"11",16,"1 fumble recovered",""
"10","C","Mike Webster*+",26,"4",16,"","Pittsburgh Steelers / 5th / 125th pick / 1974"
"11","RG","Gerry Mullins",29,"7",15,"1 fumble recovered","Pittsburgh Steelers / 4th / 86th pick / 1971"
"12","RT","Ray Pinney",24,"2",11,"1 fumble recovered","Pittsburgh Steelers / 2nd / 37th pick / 1976"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","L.C. Greenwood*",32,"9",14,"0 interceptions, 1 fumble recovered","Pittsburgh Steelers / 10th / 238th pick / 1969"
"15","LDT","Joe Greene*",32,"9",16,"0 interceptions, 5 fumbles recovered","Pittsburgh Steelers / 1st / 4th pick / 1969"
"16","RDT","John Banaszak",28,"3",15,"",""
"17","RDE","Dwight White",29,"7",11,"0 interceptions, 1 fumble recovered","Pittsburgh Steelers / 4th / 104th pick / 1971"
"18","LLB","Jack Ham*+",30,"7",14,"3 interceptions, 2 fumbles recovered","Pittsburgh Steelers / 2nd / 34th pick / 1971"
"19","MLB","Jack Lambert*",26,"4",16,"4 interceptions, 2 fumbles recovered","Pittsburgh Steelers / 2nd / 46th pick / 1974"
"20","RLB","Loren Toews",27,"5",10,"1 interception, 0 fumbles recovered","Pittsburgh Steelers / 8th / 192nd pick / 1973"
"21","LCB","Ron Johnson",22,"Rook",16,"4 interceptions, 1 fumble recovered","Pittsburgh Steelers / 1st / 22nd pick / 1978"
"22","RCB","Mel Blount*",30,"8",15,"4 interceptions, 0 fumbles recovered","Pittsburgh Steelers / 3rd / 53rd pick / 1970"
"23","SS","Donnie Shell*",26,"4",16,"3 interceptions, 5 fumbles recovered",""
"24","FS","Mike Wagner",29,"7",14,"2 interceptions, 0 fumbles recovered","Pittsburgh Steelers / 11th / 268th pick / 1971"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Roy Gerela",30,"9",0,"12 of 26 field goals & 44 of 45 extra points","Houston Oilers / 4th / 96th pick / 1969"
"27","P","Craig Colquitt",24,"Rook",0,"66 punts for a 40.0 average, 0 blocked","Pittsburgh Steelers / 3rd / 76th pick / 1978"
"28","PR","Theo Bell",25,"2",0,"21 punt returns for a 7.2 average and 0 td","Pittsburgh Steelers / 4th / 120th pick / 1976"
"29","KR","Larry Anderson",22,"Rook",1,"37 kick returns for a 25.1 average and 1 td","Pittsburgh Steelers / 4th / 101st pick / 1978"
