"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,NA,NA,"",""
"2","QB","Ben Roethlisberger",24,2,15,"280 for 469, 3,513 yards, 18 td, 23 int, & 32 rushes for 98 yards and 2 td","Pittsburgh Steelers / 1st / 11th pick / 2004"
"3","RB","Willie Parker*",26,2,16,"337 rushes for 1,494 yards, 13 td, & 31 catches for 222 yards and 3 td",""
"4","FB","Dan Kreider",29,6,12,"1 rush for 5 yards, 0 td, & 8 catches for 62 yards and 0 td",""
"5","FL","Hines Ward",30,8,14,"74 catches for 975 yards, 6 td, & 2 rushes for 30 yards and 0 td","Pittsburgh Steelers / 3rd / 92nd pick / 1998"
"6","SE","Cedrick Wilson",28,5,12,"37 catches for 504 yards, 1 td, & 2 rushes for 14 yards and 0 td","San Francisco 49ers / 6th / 169th pick / 2001"
"7","TE","Heath Miller",24,1,16,"34 catches for 393 yards, 5 td","Pittsburgh Steelers / 1st / 30th pick / 2005"
"8","LT","Marvel Smith",28,6,16,"1 fumble recovered","Pittsburgh Steelers / 2nd / 38th pick / 2000"
"9","LG","Alan Faneca*+",30,8,16,"2 fumbles recovered","Pittsburgh Steelers / 1st / 26th pick / 1998"
"10","C","Jeff Hartings",34,10,14,"1 fumble recovered","Detroit Lions / 1st / 23rd pick / 1996"
"11","RG","Kendall Simmons",27,4,14,"","Pittsburgh Steelers / 1st / 30th pick / 2002"
"12","RT","Max Starks",24,2,14,"","Pittsburgh Steelers / 3rd / 75th pick / 2004"
"13","","Defensive Starters",NA,NA,NA,"",""
"14","DE","Brett Keisel",28,4,16,"","Pittsburgh Steelers / 7th / 242nd pick / 2002"
"15","DE","Aaron Smith",30,7,16,"","Pittsburgh Steelers / 4th / 109th pick / 1999"
"16","NT","Casey Hampton*",29,5,15,"","Pittsburgh Steelers / 1st / 19th pick / 2001"
"17","LOLB","Clark Haggans",29,6,15,"6.0 sacks, 1 interception, 1 fumble recovered","Pittsburgh Steelers / 5th / 137th pick / 2000"
"18","LILB","James Farrior",31,9,16,"4.0 sacks, 1 interception, 1 fumble recovered","New York Jets / 1st / 8th pick / 1997"
"19","RILB","Larry Foote",26,4,16,"4.0 sacks, 1 interception, 1 fumble recovered","Pittsburgh Steelers / 4th / 128th pick / 2002"
"20","ROLB","Joey Porter",29,7,14,"7.0 sacks, 2 interceptions, 0 fumbles recovered","Pittsburgh Steelers / 3rd / 73rd pick / 1999"
"21","LCB","Ike Taylor",26,3,11,"0.0 sacks, 2 interceptions, 1 fumble recovered","Pittsburgh Steelers / 4th / 125th pick / 2003"
"22","RCB","Deshea Townsend",31,8,12,"2.0 sacks, 2 interceptions, 0 fumbles recovered","Pittsburgh Steelers / 4th / 117th pick / 1998"
"23","SS","Troy Polamalu*",25,3,13,"1.0 sacks, 3 interceptions, 0 fumbles recovered","Pittsburgh Steelers / 1st / 16th pick / 2003"
"24","FS","Ryan Clark",27,4,12,"0.0 sacks, 1 interception, 3 fumbles recovered",""
