"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Jay Schroeder",28,"4",9,"91 for 194, 1,550 yards, 8 td, 13 int, & 15 rushes for 38 yards and 0 td","Washington Redskins / 3rd / 83rd pick / 1984"
"3","RB","Bo Jackson",27,"2",9,"173 rushes for 950 yards, 4 td, & 9 catches for 69 yards and 0 td","Los Angeles Raiders / 7th / 183rd pick / 1987, Tampa Bay Buccaneers / 1st / 1st pick / 1986"
"4","FB","Steve Smith",25,"2",16,"117 rushes for 471 yards, 1 td, & 19 catches for 140 yards and 0 td","Los Angeles Raiders / 3rd / 81st pick / 1987"
"5","WR","Mervyn Fernandez",30,"2",13,"57 catches for 1,069 yards, 9 td, & 2 rushes for 16 yards and 0 td","Los Angeles Raiders / 10th / 277th pick / 1983"
"6","WR","Willie Gault",29,"6",16,"28 catches for 690 yards, 4 td","Chicago Bears / 1st / 18th pick / 1983"
"7","TE","Mike Dyal",23,"Rook",16,"27 catches for 499 yards, 2 td",""
"8","LT","Rory Graves",26,"1",15,"",""
"9","LG","John Gesek",26,"2",16,"","Los Angeles Raiders / 10th / 265th pick / 1987"
"10","C","Don Mosebar",28,"6",11,"","Los Angeles Raiders / 1st / 26th pick / 1983"
"11","RG","Steve Wisniewski",22,"Rook",15,"3 fumbles recovered","Dallas Cowboys / 2nd / 29th pick / 1989"
"12","RT","Bruce Wilkerson",25,"2",16,"2 fumbles recovered","Los Angeles Raiders / 2nd / 52nd pick / 1987"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Howie Long*",29,"8",10,"5.0 sacks, 0 interceptions, 1 fumble recovered","Oakland Raiders / 2nd / 48th pick / 1981"
"15","NT","Bob Golic",32,"10",16,"3.5 sacks, 0 interceptions, 0 fumbles recovered","New England Patriots / 2nd / 52nd pick / 1979"
"16","RDE","Scott Davis",24,"1",12,"5.5 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Raiders / 1st / 25th pick / 1988"
"17","LOLB","Linden King",34,"11",13,"0.0 sacks, 0 interceptions, 3 fumbles recovered","San Diego Chargers / 3rd / 77th pick / 1977"
"18","LILB","Thomas Benson",28,"5",16,"2.0 sacks, 2 interceptions, 2 fumbles recovered","Atlanta Falcons / 2nd / 36th pick / 1984"
"19","RILB","Jerry Robinson",33,"10",11,"0.5 sacks, 1 interception, 0 fumbles recovered","Philadelphia Eagles / 1st / 21st pick / 1979"
"20","ROLB","Greg Townsend",28,"6",12,"10.5 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Raiders / 4th / 110th pick / 1983"
"21","LCB","Terry McDaniel",24,"1",15,"1.0 sacks, 3 interceptions, 0 fumbles recovered","Los Angeles Raiders / 1st / 9th pick / 1988"
"22","RCB","Lionel Washington",29,"6",16,"0.0 sacks, 3 interceptions, 3 fumbles recovered","St. Louis Cardinals / 4th / 103rd pick / 1983"
"23","SS","Mike Harden",30,"9",12,"0.0 sacks, 2 interceptions, 3 fumbles recovered","Denver Broncos / 5th / 131st pick / 1980"
"24","FS","Eddie Anderson",26,"3",10,"0.0 sacks, 5 interceptions, 0 fumbles recovered","Seattle Seahawks / 6th / 153rd pick / 1986"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Jeff Jaeger",25,"2",0,"23 of 34 field goals & 34 of 34 extra points","Cleveland Browns / 3rd / 82nd pick / 1987"
"27","P","Jeff Gossett",32,"8",0,"67 punts for a 40.5 average, 0 blocked",""
"28","PR","Stefon Adams",26,"3",0,"19 punt returns for a 8.2 average and 0 td","Los Angeles Raiders / 3rd / 80th pick / 1985"
"29","KR","Stefon Adams",26,"3",0,"22 kick returns for a 19.3 average and 0 td","Los Angeles Raiders / 3rd / 80th pick / 1985"
