"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Kerry Collins",33,"10",15,"302 for 565, 3,759 yards, 20 td, 12 int, & 17 rushes for 39 yards and 1 td","Carolina Panthers / 1st / 5th pick / 1995"
"3","RB","LaMont Jordan",27,"4",14,"272 rushes for 1,025 yards, 9 td, & 70 catches for 563 yards and 2 td","New York Jets / 2nd / 49th pick / 2001"
"4","WR","Randy Moss",28,"7",15,"60 catches for 1,005 yards, 8 td","Minnesota Vikings / 1st / 21st pick / 1998"
"5","WR","Jerry Porter",27,"5",14,"76 catches for 942 yards, 5 td, & 1 rush for -8 yards and 0 td","Oakland Raiders / 2nd / 47th pick / 2000"
"6","TE","Courtney Anderson",25,"1",13,"24 catches for 303 yards, 3 td","Oakland Raiders / 7th / 245th pick / 2004"
"7","LT","Barry Sims",31,"6",16,"2 fumbles recovered",""
"8","LG","Brad Badger",30,"8",8,"2 fumbles recovered","Washington Redskins / 5th / 162nd pick / 1997"
"9","C","Adam Treu",31,"8",10,"","Oakland Raiders / 3rd / 72nd pick / 1997"
"10","RG","Ron Stone",34,"11",16,"2 fumbles recovered","Dallas Cowboys / 4th / 96th pick / 1993"
"11","RT","Robert Gallery",25,"1",16,"","Oakland Raiders / 1st / 2nd pick / 2004"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Derrick Burgess*",27,"4",12,"","Philadelphia Eagles / 3rd / 63rd pick / 2001"
"14","DE","Bobby Hamilton",34,"9",13,"",""
"15","DE","Tommy Kelly",25,"1",12,"",""
"16","DT","Warren Sapp",33,"10",10,"","Tampa Bay Buccaneers / 1st / 12th pick / 1995"
"17","NT","Ted Washington",37,"14",16,"","San Francisco 49ers / 1st / 25th pick / 1991"
"18","LB","Danny Clark",28,"5",15,"","Jacksonville Jaguars / 7th / 245th pick / 2000"
"19","LB","Kirk Morrison",23,"Rook",15,"","Oakland Raiders / 3rd / 78th pick / 2005"
"20","CB","Nnamdi Asomugha",24,"2",16,"","Oakland Raiders / 1st / 31st pick / 2003"
"21","CB","Renaldo Hill",27,"4",13,"0.0 sacks, 1 interception, 0 fumbles recovered","Arizona Cardinals / 7th / 202nd pick / 2001"
"22","CB","Fabian Washington",22,"Rook",11,"0.0 sacks, 0 interceptions, 1 fumble recovered","Oakland Raiders / 1st / 23rd pick / 2005"
"23","SS","Jarrod Cooper",27,"4",10,"0.5 sacks, 0 interceptions, 2 fumbles recovered","Carolina Panthers / 5th / 143rd pick / 2001"
"24","FS","Stuart Schweigert",24,"1",13,"0.0 sacks, 2 interceptions, 3 fumbles recovered","Oakland Raiders / 3rd / 67th pick / 2004"
