"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Vince Ferragamo",29,"6",16,"274 for 464, 3,276 yards, 22 td, 23 int, & 22 rushes for 17 yards and 0 td","Los Angeles Rams / 4th / 91st pick / 1977"
"3","RB","Eric Dickerson*+",23,"Rook",16,"390 rushes for 1,808 yards, 18 td, & 51 catches for 404 yards and 2 td","Los Angeles Rams / 1st / 2nd pick / 1983"
"4","FB","Mike Guman",25,"3",14,"7 rushes for 42 yards, 0 td, & 34 catches for 347 yards and 4 td","Los Angeles Rams / 6th / 154th pick / 1980"
"5","WR","Preston Dennard",28,"5",13,"33 catches for 465 yards, 5 td",""
"6","WR","George Farmer",25,"1",16,"40 catches for 556 yards, 5 td, & 1 rush for -9 yards and 0 td","Los Angeles Rams / 9th / 248th pick / 1980"
"7","TE","Mike Barber",30,"7",16,"55 catches for 657 yards, 3 td","Houston Oilers / 2nd / 48th pick / 1976"
"8","LT","Bill Bain",31,"8",16,"","Green Bay Packers / 2nd / 47th pick / 1975"
"9","LG","Kent Hill*",26,"4",16,"","Los Angeles Rams / 1st / 26th pick / 1979"
"10","C","Doug Smith",27,"5",14,"",""
"11","RG","Dennis Harrah",30,"8",15,"","Los Angeles Rams / 1st / 11th pick / 1975"
"12","RT","Jackie Slater*",29,"7",16,"1 fumble recovered","Los Angeles Rams / 3rd / 86th pick / 1976"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Jack Youngblood",33,"12",16,"10.5 sacks, 0 interceptions, 2 fumbles recovered","Los Angeles Rams / 1st / 20th pick / 1971"
"15","NT","Greg Meisner",24,"2",10,"","Los Angeles Rams / 3rd / 63rd pick / 1981"
"16","RDE","Reggie Doss",27,"5",16,"5.0 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Rams / 7th / 189th pick / 1978"
"17","LOLB","Mel Owens",25,"2",16,"4.0 sacks, 0 interceptions, 2 fumbles recovered","Los Angeles Rams / 1st / 9th pick / 1981"
"18","LILB","Carl Ekern",29,"7",16,"0.0 sacks, 1 interception, 2 fumbles recovered","Los Angeles Rams / 5th / 128th pick / 1976"
"19","RILB","Jim Collins",25,"2",13,"1.0 sacks, 2 interceptions, 1 fumble recovered","Los Angeles Rams / 2nd / 43rd pick / 1981"
"20","ROLB","George Andrews",28,"4",16,"3.0 sacks, 1 interception, 0 fumbles recovered","Los Angeles Rams / 1st / 19th pick / 1979"
"21","LCB","Eric Harris",28,"3",11,"0.0 sacks, 4 interceptions, 1 fumble recovered","Kansas City Chiefs / 4th / 104th pick / 1977"
"22","RCB","LeRoy Irvin",26,"3",13,"1.0 sacks, 4 interceptions, 2 fumbles recovered","Los Angeles Rams / 3rd / 70th pick / 1980"
"23","SS","Nolan Cromwell*",28,"6",16,"0.0 sacks, 3 interceptions, 2 fumbles recovered","Los Angeles Rams / 2nd / 31st pick / 1977"
"24","FS","Johnnie Johnson",27,"3",16,"1.0 sacks, 4 interceptions, 4 fumbles recovered","Los Angeles Rams / 1st / 17th pick / 1980"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Chuck Nelson",23,"Rook",0,"5 of 11 field goals & 33 of 37 extra points","Los Angeles Rams / 4th / 87th pick / 1983"
"27","P","John Misko",29,"1",0,"82 punts for a 40.3 average, 1 blocked",""
"28","PR","LeRoy Irvin",26,"3",13,"25 punt returns for a 8.5 average and 0 td","Los Angeles Rams / 3rd / 70th pick / 1980"
"29","KR","Barry Redden",23,"1",0,"19 kick returns for a 18.8 average and 0 td","Los Angeles Rams / 1st / 14th pick / 1982"
