"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Sam Bradford",25,"2",16,"328 for 551, 3,702 yards, 21 td, 13 int, & 37 rushes for 127 yards and 1 td","St. Louis Rams / 1st / 1st pick / 2010"
"3","RB","Steven Jackson",29,"8",16,"258 rushes for 1,045 yards, 4 td, & 38 catches for 321 yards and 0 td","St. Louis Rams / 1st / 24th pick / 2004"
"4","WR","Danny Amendola",27,"3",8,"63 catches for 666 yards, 3 td, & 2 rushes for 8 yards and 0 td",""
"5","WR","Brandon Gibson",25,"3",13,"51 catches for 691 yards, 5 td","Philadelphia Eagles / 6th / 194th pick / 2009"
"6","WR","Chris Givens",23,"Rook",12,"42 catches for 698 yards, 3 td, & 3 rushes for 12 yards and 0 td","St. Louis Rams / 4th / 96th pick / 2012"
"7","TE","Lance Kendricks",24,"1",14,"42 catches for 519 yards, 4 td","St. Louis Rams / 2nd / 47th pick / 2011"
"8","TE","Matthew Mulligan",27,"3",9,"8 catches for 84 yards, 1 td",""
"9","LT","Rodger Saffold",24,"2",10,"1 fumble recovered","St. Louis Rams / 2nd / 33rd pick / 2010"
"10","C","Robert Turner",28,"5",16,"1 fumble recovered",""
"11","RG","Harvey Dahl",31,"6",14,"1 fumble recovered",""
"12","RT","Barry Richardson",26,"4",16,"","Kansas City Chiefs / 6th / 170th pick / 2008"
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Chris Long",27,"4",16,"","St. Louis Rams / 1st / 2nd pick / 2008"
"15","DE","Robert Quinn",22,"1",14,"","St. Louis Rams / 1st / 14th pick / 2011"
"16","LDT","Kendall Langford",26,"4",16,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Miami Dolphins / 3rd / 66th pick / 2008"
"17","RDT","Michael Brockers",22,"Rook",12,"4.0 sacks, 0 interceptions, 0 fumbles recovered","St. Louis Rams / 1st / 14th pick / 2012"
"18","MLB","James Laurinaitis",26,"3",16,"0.5 sacks, 2 interceptions, 1 fumble recovered","St. Louis Rams / 2nd / 35th pick / 2009"
"19","LB","Jo-Lonn Dunbar",27,"4",16,"",""
"20","LB","Rocky McIntosh",30,"6",9,"","Washington Redskins / 2nd / 35th pick / 2006"
"21","LCB","Cortland Finnegan",28,"6",15,"1.0 sacks, 3 interceptions, 0 fumbles recovered","Tennessee Titans / 7th / 215th pick / 2006"
"22","RCB","Janoris Jenkins",24,"Rook",14,"0.0 sacks, 4 interceptions, 1 fumble recovered","St. Louis Rams / 2nd / 39th pick / 2012"
"23","SS","Quintin Mikell",32,"9",16,"3.0 sacks, 0 interceptions, 0 fumbles recovered",""
"24","FS","Craig Dahl",27,"5",16,"0.0 sacks, 1 interception, 0 fumbles recovered",""
