"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Vinny Testaverde",34,"10",13,"271 for 470, 2,971 yards, 18 td, 15 int, & 34 rushes for 138 yards and 0 td","Tampa Bay Buccaneers / 1st / 1st pick / 1987"
"3","RB","Bam Morris",25,"3",8,"204 rushes for 774 yards, 4 td, & 29 catches for 176 yards and 0 td","Pittsburgh Steelers / 3rd / 91st pick / 1994"
"4","WR","Derrick Alexander",26,"3",13,"65 catches for 1,009 yards, 9 td, & 1 rush for 0 yards and 0 td","Cleveland Browns / 1st / 29th pick / 1994"
"5","WR","Michael Jackson",28,"6",15,"69 catches for 918 yards, 4 td","Cleveland Browns / 6th / 141st pick / 1991"
"6","WR","Jermaine Lewis",23,"1",7,"42 catches for 648 yards, 6 td, & 3 rushes for 35 yards and 0 td","Baltimore Ravens / 5th / 153rd pick / 1996"
"7","TE","Eric Green",30,"7",15,"65 catches for 601 yards, 5 td","Pittsburgh Steelers / 1st / 21st pick / 1990"
"8","LT","Jonathan Ogden*+",23,"1",16,"","Baltimore Ravens / 1st / 4th pick / 1996"
"9","LG","Ben Cavil",25,"Rook",8,"",""
"10","C","Wally Williams",26,"4",10,"",""
"11","RG","Jeff Blackshear",28,"4",16,"","Seattle Seahawks / 8th / 197th pick / 1993"
"12","RT","Orlando Brown",27,"3",16,"",""
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Rob Burnett",30,"7",15,"4.0 sacks, 0 interceptions, 1 fumble recovered","Cleveland Browns / 5th / 129th pick / 1990"
"15","LDT","James Jones",28,"6",16,"6.0 sacks, 0 interceptions, 1 fumble recovered","Cleveland Browns / 3rd / 57th pick / 1991"
"16","RDT","Tony Siragusa",30,"7",13,"0.0 sacks, 0 interceptions, 1 fumble recovered",""
"17","RDE","Michael McCrary",27,"4",15,"9.0 sacks, 0 interceptions, 2 fumbles recovered","Seattle Seahawks / 7th / 170th pick / 1993"
"18","LLB","Peter Boulware",23,"Rook",16,"11.5 sacks, 0 interceptions, 0 fumbles recovered","Baltimore Ravens / 1st / 4th pick / 1997"
"19","MLB","Ray Lewis*",22,"1",16,"4.0 sacks, 1 interception, 1 fumble recovered","Baltimore Ravens / 1st / 26th pick / 1996"
"20","RLB","Jamie Sharper",23,"Rook",15,"3.0 sacks, 1 interception, 0 fumbles recovered","Baltimore Ravens / 2nd / 34th pick / 1997"
"21","LCB","Antonio Langham",25,"3",15,"1.0 sacks, 3 interceptions, 0 fumbles recovered","Cleveland Browns / 1st / 9th pick / 1994"
"22","RCB","DeRon Jenkins",24,"1",6,"0.0 sacks, 1 interception, 1 fumble recovered","Baltimore Ravens / 2nd / 55th pick / 1996"
"23","SS","Stevon Moore",30,"7",13,"0.0 sacks, 4 interceptions, 0 fumbles recovered","New York Jets / 7th / 181st pick / 1989"
"24","FS","Rondell Jones",26,"4",12,"0.0 sacks, 1 interception, 0 fumbles recovered","Denver Broncos / 3rd / 69th pick / 1993"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Matt Stover",29,"6",0,"26 of 34 field goals & 32 of 32 extra points","New York Giants / 12th / 329th pick / 1990"
"27","P","Greg Montgomery",33,"9",0,"83 punts for a 42.7 average, 0 blocked","Houston Oilers / 3rd / 72nd pick / 1988"
"28","PR","Jermaine Lewis",23,"1",7,"28 punt returns for a 15.6 average and 2 td","Baltimore Ravens / 5th / 153rd pick / 1996"
"29","KR","Jermaine Lewis",23,"1",7,"41 kick returns for a 22.1 average and 0 td","Baltimore Ravens / 5th / 153rd pick / 1996"
