"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Jeff Blake",32,"10",10,"165 for 295, 2,084 yards, 13 td, 11 int, & 39 rushes for 106 yards and 1 td","New York Jets / 6th / 166th pick / 1992"
"3","RB","Jamal Lewis",23,"2",15,"308 rushes for 1,327 yards, 6 td, & 47 catches for 442 yards and 1 td","Baltimore Ravens / 1st / 5th pick / 2000"
"4","FB","Alan Ricard",25,"1",8,"14 rushes for 58 yards, 2 td, & 10 catches for 60 yards and 0 td",""
"5","WR","Travis Taylor",23,"2",15,"61 catches for 869 yards, 6 td, & 11 rushes for 105 yards and 0 td","Baltimore Ravens / 1st / 10th pick / 2000"
"6","TE","Todd Heap*",22,"1",16,"68 catches for 836 yards, 6 td, & 4 rushes for 38 yards and 0 td","Baltimore Ravens / 1st / 31st pick / 2001"
"7","LT","Jeff Ogden",27,"4",0,"",""
"8","LG","Edwin Mulitalo",28,"3",15,"1 fumble recovered","Baltimore Ravens / 4th / 129th pick / 1999"
"9","C","Mike Flynn",28,"4",15,"",""
"10","RG","Bennie Anderson",25,"1",16,"",""
"11","RT","Ethan Brooks",30,"6",13,"","Atlanta Falcons / 7th / 229th pick / 1996"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Adalius Thomas",25,"2",12,"","Baltimore Ravens / 6th / 186th pick / 2000"
"14","DE","Anthony Weaver",22,"Rook",16,"","Baltimore Ravens / 2nd / 52nd pick / 2002"
"15","NT","Kelly Gregg",26,"3",16,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Cincinnati Bengals / 6th / 173rd pick / 1999"
"16","LOLB","Cornell Brown",27,"5",14,"1.5 sacks, 0 interceptions, 0 fumbles recovered","Baltimore Ravens / 6th / 194th pick / 1997"
"17","LILB","Ed Hartwell",24,"1",16,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Baltimore Ravens / 4th / 126th pick / 2001"
"18","RILB","Bernardo Harris",31,"7",10,"2.0 sacks, 2 interceptions, 0 fumbles recovered",""
"19","ROLB","Peter Boulware*",28,"5",16,"7.0 sacks, 1 interception, 2 fumbles recovered","Baltimore Ravens / 1st / 4th pick / 1997"
"20","LCB","Chris McAlister",25,"3",12,"0.0 sacks, 1 interception, 1 fumble recovered","Baltimore Ravens / 1st / 10th pick / 1999"
"21","RCB","Gary Baxter",24,"1",14,"0.0 sacks, 1 interception, 0 fumbles recovered","Baltimore Ravens / 2nd / 62nd pick / 2001"
"22","SS","Ed Reed",24,"Rook",16,"1.0 sacks, 5 interceptions, 0 fumbles recovered","Baltimore Ravens / 1st / 24th pick / 2002"
