"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Dan Fouts*+",31,"9",9,"204 for 330, 2,883 yards, 17 td, 11 int, & 9 rushes for 8 yards and 1 td","San Diego Chargers / 3rd / 64th pick / 1973"
"3","RB","Chuck Muncie*",29,"6",9,"138 rushes for 569 yards, 8 td, & 25 catches for 207 yards and 1 td","New Orleans Saints / 1st / 3rd pick / 1976"
"4","FB","John Cappelletti",30,"8",6,"22 rushes for 82 yards, 0 td, & 7 catches for 48 yards and 0 td","Los Angeles Rams / 1st / 11th pick / 1974"
"5","WR","Wes Chandler*+",26,"4",8,"49 catches for 1,032 yards, 9 td, & 5 rushes for 32 yards and 0 td","New Orleans Saints / 1st / 3rd pick / 1978"
"6","WR","Charlie Joiner",35,"13",9,"36 catches for 545 yards, 0 td","Houston Oilers / 4th / 93rd pick / 1969"
"7","TE","Kellen Winslow*+",25,"3",9,"54 catches for 721 yards, 6 td","San Diego Chargers / 1st / 13th pick / 1979"
"8","LT","Billy Shields",29,"7",9,"","San Diego Chargers / 6th / 136th pick / 1975"
"9","LG","Doug Wilkerson*+",35,"12",9,"","Houston Oilers / 1st / 14th pick / 1970"
"10","C","Don Macek",28,"6",9,"","San Diego Chargers / 2nd / 31st pick / 1976"
"11","RG","Ed White",35,"13",9,"","Minnesota Vikings / 2nd / 39th pick / 1969"
"12","RT","Russ Washington",36,"14",9,"","San Diego Chargers / 1st / 4th pick / 1968"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Leroy Jones",32,"6",8,"1.5 sacks, 0 interceptions, 2 fumbles recovered","Los Angeles Rams / 2nd / 48th pick / 1975"
"15","LDT","Louie Kelcher",29,"7",7,"2.0 sacks, 0 interceptions, 1 fumble recovered","San Diego Chargers / 2nd / 30th pick / 1975"
"16","RDT","Gary Johnson*",30,"7",9,"4.0 sacks, 0 interceptions, 0 fumbles recovered","San Diego Chargers / 1st / 8th pick / 1975"
"17","RDE","Keith Ferguson",23,"1",8,"4.5 sacks, 0 interceptions, 1 fumble recovered","San Diego Chargers / 5th / 131st pick / 1981"
"18","LLB","Linden King",27,"4",7,"1.0 sacks, 0 interceptions, 1 fumble recovered","San Diego Chargers / 3rd / 77th pick / 1977"
"19","MLB","Cliff Thrift",26,"3",9,"0.0 sacks, 2 interceptions, 2 fumbles recovered","San Diego Chargers / 3rd / 73rd pick / 1979"
"20","RLB","Woodrow Lowe",28,"6",7,"2.0 sacks, 1 interception, 0 fumbles recovered","San Diego Chargers / 5th / 131st pick / 1976"
"21","LCB","Jeff Allen",25,"2",9,"0.0 sacks, 1 interception, 0 fumbles recovered","Miami Dolphins / 8th / 212th pick / 1980"
"22","RCB","Mike Williams",29,"7",8,"0.0 sacks, 2 interceptions, 0 fumbles recovered","San Diego Chargers / 1st / 22nd pick / 1975"
"23","SS","Bruce Laird",32,"10",6,"0.0 sacks, 0 interceptions, 1 fumble recovered","Baltimore Colts / 6th / 152nd pick / 1972"
"24","FS","Tim Fox",29,"6",7,"0.0 sacks, 4 interceptions, 0 fumbles recovered","New England Patriots / 1st / 21st pick / 1976"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Rolf Benirschke*",27,"5",0,"16 of 22 field goals & 32 of 34 extra points","Oakland Raiders / 12th / 334th pick / 1977"
"27","P","Maury Buford",22,"Rook",0,"21 punts for a 41.3 average, 2 blocked","San Diego Chargers / 8th / 215th pick / 1982"
"28","PR","James Brooks",24,"1",0,"12 punt returns for a 11.5 average and 0 td","San Diego Chargers / 1st / 24th pick / 1981"
"29","KR","James Brooks",24,"1",0,"33 kick returns for a 22.7 average and 0 td","San Diego Chargers / 1st / 24th pick / 1981"
