"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Philip Rivers",35,"12",14,"304 for 494, 3,795 yards, 29 td, 18 int, & 12 rushes for 34 yards and 0 td","New York Giants / 1st / 4th pick / 2004"
"3","RB","Melvin Gordon",23,"1",11,"254 rushes for 997 yards, 10 td, & 41 catches for 419 yards and 2 td","San Diego Chargers / 1st / 15th pick / 2015"
"4","WR","Dontrelle Inman",27,"2",14,"51 catches for 715 yards, 4 td",""
"5","WR","Tyrell Williams",24,"1",10,"59 catches for 925 yards, 6 td",""
"6","TE","Hunter Henry",22,"Rook",10,"32 catches for 435 yards, 7 td","San Diego Chargers / 2nd / 35th pick / 2016"
"7","T","Joe Barksdale",27,"5",13,"","Oakland Raiders / 3rd / 92nd pick / 2011"
"8","T","King Dunlap",31,"8",12,"","Philadelphia Eagles / 7th / 230th pick / 2008"
"9","G","D.J. Fluker",25,"3",14,"","San Diego Chargers / 1st / 11th pick / 2013"
"10","G","Orlando Franklin",29,"5",14,"","Denver Broncos / 2nd / 46th pick / 2011"
"11","C","Matt Slauson",30,"7",14,"","New York Jets / 6th / 193rd pick / 2009"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DT","Corey Liuget",26,"5",14,"","San Diego Chargers / 1st / 18th pick / 2011"
"14","NT","Brandon Mebane",31,"9",10,"1.0 sacks, 1 interception, 0 fumbles recovered","Seattle Seahawks / 3rd / 85th pick / 2007"
"15","LB","Kyle Emanuel",25,"1",10,"","San Diego Chargers / 5th / 153rd pick / 2015"
"16","LB","Melvin Ingram",27,"4",14,"","San Diego Chargers / 1st / 18th pick / 2012"
"17","LB","Denzel Perryman",23,"1",10,"","San Diego Chargers / 2nd / 48th pick / 2015"
"18","CB","Casey Hayward",27,"4",12,"0.0 sacks, 7 interceptions, 0 fumbles recovered","Green Bay Packers / 2nd / 62nd pick / 2012"
"19","S","Dwight Lowery",30,"8",14,"0.0 sacks, 1 interception, 1 fumble recovered","New York Jets / 4th / 113th pick / 2008"
