"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Dave Krieg*",31,"9",14,"286 for 499, 3,309 yards, 21 td, 20 int, & 40 rushes for 160 yards and 0 td",""
"3","RB","Curt Warner",28,"6",15,"194 rushes for 631 yards, 3 td, & 23 catches for 153 yards and 1 td","Seattle Seahawks / 1st / 3rd pick / 1983"
"4","FB","John Williams",25,"3",15,"146 rushes for 499 yards, 1 td, & 76 catches for 657 yards and 6 td","Seattle Seahawks / 1st / 15th pick / 1986"
"5","WR","Brian Blades*",24,"1",14,"77 catches for 1,063 yards, 5 td, & 1 rush for 3 yards and 0 td","Seattle Seahawks / 2nd / 49th pick / 1988"
"6","WR","Steve Largent",35,"13",9,"28 catches for 403 yards, 3 td","Houston Oilers / 4th / 117th pick / 1976"
"7","TE","Robert Tyler",24,"Rook",9,"14 catches for 148 yards, 0 td","Seattle Seahawks / 8th / 215th pick / 1988"
"8","LT","Andy Heck",22,"Rook",9,"1 fumble recovered","Seattle Seahawks / 1st / 15th pick / 1989"
"9","LG","Edwin Bailey",30,"8",16,"1 fumble recovered","Seattle Seahawks / 5th / 114th pick / 1981"
"10","C","Grant Feasel",29,"6",16,"1 fumble recovered","Baltimore Colts / 6th / 161st pick / 1983"
"11","RG","Bryan Millard",29,"5",16,"1 fumble recovered",""
"12","RT","Mike Wilson",34,"11",16,"","Cincinnati Bengals / 4th / 103rd pick / 1977"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Jacob Green",32,"9",14,"3.0 sacks, 0 interceptions, 1 fumble recovered","Seattle Seahawks / 1st / 10th pick / 1980"
"15","NT","Joe Nash",29,"7",16,"8.0 sacks, 0 interceptions, 0 fumbles recovered",""
"16","RDE","Jeff Bryant",29,"7",15,"3.5 sacks, 0 interceptions, 0 fumbles recovered","Seattle Seahawks / 1st / 6th pick / 1982"
"17","LOLB","Tony Woods",24,"2",12,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Seattle Seahawks / 1st / 18th pick / 1987"
"18","LILB","Darren Comeaux",29,"7",13,"0.0 sacks, 1 interception, 1 fumble recovered",""
"19","RILB","David Wyman",25,"2",16,"","Seattle Seahawks / 2nd / 45th pick / 1987"
"20","ROLB","M.L. Johnson",25,"2",8,"0.0 sacks, 0 interceptions, 2 fumbles recovered","Seattle Seahawks / 9th / 243rd pick / 1987"
"21","LCB","Dwayne Harper",23,"1",13,"0.0 sacks, 2 interceptions, 1 fumble recovered","Seattle Seahawks / 11th / 299th pick / 1988"
"22","RCB","Patrick Hunter",25,"3",14,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Seattle Seahawks / 3rd / 68th pick / 1986"
"23","SS","Nesby Glasgow",32,"10",16,"0.0 sacks, 0 interceptions, 5 fumbles recovered","Baltimore Colts / 8th / 207th pick / 1979"
"24","FS","Eugene Robinson",26,"4",14,"0.0 sacks, 5 interceptions, 1 fumble recovered",""
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Norm Johnson",29,"7",0,"15 of 25 field goals & 27 of 27 extra points",""
"27","P","Ruben Rodriguez",24,"2",0,"75 punts for a 39.9 average, 1 blocked","Seattle Seahawks / 5th / 131st pick / 1987"
"28","PR","David Hollis",24,"2",0,"18 punt returns for a 9.1 average and 0 td",""
"29","KR","James Jefferson",26,"Rook",1,"22 kick returns for a 23.2 average and 1 td",""
