"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Matt Hasselbeck*",30,"6",16,"294 for 449, 3,459 yards, 24 td, 9 int, & 36 rushes for 124 yards and 1 td","Green Bay Packers / 6th / 187th pick / 1998"
"3","RB","Shaun Alexander*+",28,"5",16,"370 rushes for 1,880 yards, 27 td, & 15 catches for 78 yards and 1 td","Seattle Seahawks / 1st / 19th pick / 2000"
"4","WR","Bobby Engram",32,"9",13,"67 catches for 778 yards, 3 td","Chicago Bears / 2nd / 52nd pick / 1996"
"5","WR","Joe Jurevicius",31,"7",12,"55 catches for 694 yards, 10 td","New York Giants / 2nd / 55th pick / 1998"
"6","TE","Jerramy Stevens",26,"3",11,"45 catches for 554 yards, 5 td","Seattle Seahawks / 1st / 28th pick / 2002"
"7","LT","Walter Jones*+",31,"8",15,"1 fumble recovered","Seattle Seahawks / 1st / 6th pick / 1997"
"8","LG","Steve Hutchinson*+",28,"4",16,"","Seattle Seahawks / 1st / 17th pick / 2001"
"9","C","Robbie Tobeck*",35,"11",16,"",""
"10","RG","Chris Gray",35,"12",16,"","Miami Dolphins / 5th / 132nd pick / 1993"
"11","RT","Sean Locklear",24,"1",16,"2 fumbles recovered","Seattle Seahawks / 3rd / 84th pick / 2004"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Bryce Fisher",28,"4",15,"","Buffalo Bills / 7th / 248th pick / 1999"
"14","DE","Grant Wistrom",29,"7",16,"","St. Louis Rams / 1st / 6th pick / 1998"
"15","LDT","Chartric Darby",30,"4",14,"2.5 sacks, 0 interceptions, 0 fumbles recovered",""
"16","RDT","Marcus Tubbs",24,"1",11,"5.5 sacks, 0 interceptions, 1 fumble recovered","Seattle Seahawks / 1st / 23rd pick / 2004"
"17","MLB","Lofa Tatupu*",23,"Rook",16,"4.0 sacks, 3 interceptions, 1 fumble recovered","Seattle Seahawks / 2nd / 45th pick / 2005"
"18","LB","LeRoy Hill",23,"Rook",9,"","Seattle Seahawks / 3rd / 98th pick / 2005"
"19","LB","D.D. Lewis",26,"3",12,"",""
"20","LB","Jamie Sharper",31,"8",8,"","Baltimore Ravens / 2nd / 34th pick / 1997"
"21","RCB","Marcus Trufant",25,"2",15,"1.0 sacks, 1 interception, 0 fumbles recovered","Seattle Seahawks / 1st / 11th pick / 2003"
"22","SS","Michael Boulware",24,"1",16,"2.0 sacks, 4 interceptions, 0 fumbles recovered","Seattle Seahawks / 2nd / 53rd pick / 2004"
"23","FS","Marquand Manuel",26,"3",11,"0.0 sacks, 0 interceptions, 1 fumble recovered","Cincinnati Bengals / 6th / 181st pick / 2002"
