"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Jim Plunkett",29,"5",12,"126 for 243, 1,592 yards, 13 td, 16 int, & 19 rushes for 95 yards and 0 td","New England Patriots / 1st / 1st pick / 1971"
"3","RB","Delvin Williams*",25,"2",13,"248 rushes for 1,203 yards, 7 td, & 27 catches for 283 yards and 2 td","San Francisco 49ers / 2nd / 49th pick / 1974"
"4","FB","Wilbur Jackson",25,"2",14,"200 rushes for 792 yards, 1 td, & 33 catches for 324 yards and 1 td","San Francisco 49ers / 1st / 9th pick / 1974"
"5","WR","Jim Lash",25,"3",7,"13 catches for 190 yards, 0 td, & 3 rushes for 5 yards and 0 td","Minnesota Vikings / 3rd / 65th pick / 1973"
"6","WR","Gene Washington",29,"7",14,"33 catches for 457 yards, 6 td, & 1 rush for 3 yards and 0 td","San Francisco 49ers / 1st / 16th pick / 1969"
"7","TE","Tom Mitchell",32,"10",14,"20 catches for 240 yards, 1 td","Oakland Raiders / 3rd / 58th pick / 1966"
"8","LT","Jean Barrett",25,"3",14,"","San Francisco 49ers / 2nd / 44th pick / 1972"
"9","LG","Steve Lawson",27,"5",14,"2 fumbles recovered","Cincinnati Bengals / 2nd / 41st pick / 1971"
"10","C","Randy Cross",22,"Rook",10,"1 fumble recovered","San Francisco 49ers / 2nd / 42nd pick / 1976"
"11","RG","Andy Maurer",28,"6",10,"","Atlanta Falcons / 3rd / 64th pick / 1970"
"12","RT","Cas Banaszek",31,"8",8,"","San Francisco 49ers / 1st / 11th pick / 1967"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Tommy Hart*",32,"8",14,"0 interceptions, 1 fumble recovered","San Francisco 49ers / 10th / 261st pick / 1968"
"15","LDT","Jimmy Webb",24,"1",14,"0 interceptions, 2 fumbles recovered","San Francisco 49ers / 1st / 10th pick / 1975"
"16","RDT","Cleveland Elam*",24,"1",14,"0 interceptions, 4 fumbles recovered","San Francisco 49ers / 4th / 85th pick / 1975"
"17","RDE","Cedrick Hardman",28,"6",11,"","San Francisco 49ers / 1st / 9th pick / 1970"
"18","LLB","Skip Vanderbundt",30,"7",14,"2 interceptions, 0 fumbles recovered","San Francisco 49ers / 3rd / 69th pick / 1968"
"19","MLB","Frank Nunley",31,"9",12,"1 interception, 0 fumbles recovered","San Francisco 49ers / 3rd / 62nd pick / 1967"
"20","RLB","Dave Washington*",28,"6",14,"0 interceptions, 3 fumbles recovered","Denver Broncos / 9th / 219th pick / 1970"
"21","LCB","Jimmy Johnson",38,"15",13,"1 interception, 0 fumbles recovered","San Francisco 49ers / 1st / 6th pick / 1961, San Diego Chargers / 4th / 31st pick / 1961"
"22","RCB","Bruce Taylor",28,"6",13,"","San Francisco 49ers / 1st / 17th pick / 1970"
"23","SS","Mel Phillips",34,"10",14,"2 interceptions, 1 fumble recovered","San Francisco 49ers / 5th / 69th pick / 1966, Buffalo Bills / 19th / 172nd pick / 1966"
"24","FS","Ralph McGill",26,"4",9,"0 interceptions, 1 fumble recovered","San Francisco 49ers / 2nd / 28th pick / 1972"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Steve Mike-Mayer",29,"1",0,"16 of 28 field goals & 26 of 30 extra points","San Francisco 49ers / 3rd / 72nd pick / 1975"
"27","P","Tom Wittum",26,"3",0,"89 punts for a 40.8 average, 2 blocked","San Francisco 49ers / 8th / 200th pick / 1972"
"28","PR","Tony Leonard",23,"Rook",1,"35 punt returns for a 8.4 average and 1 td","San Francisco 49ers / 5th / 140th pick / 1976"
"29","KR","Tony Leonard",23,"Rook",1,"26 kick returns for a 21.3 average and 0 td","San Francisco 49ers / 5th / 140th pick / 1976"
