"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Jeff Garcia*",31,"2",16,"316 for 504, 3,538 yards, 32 td, 12 int, & 72 rushes for 254 yards and 5 td",""
"3","RB","Garrison Hearst*",30,"8",16,"252 rushes for 1,206 yards, 4 td, & 41 catches for 347 yards and 1 td","Phoenix Cardinals / 1st / 3rd pick / 1993"
"4","FB","Fred Beasley",27,"3",12,"23 rushes for 73 yards, 1 td, & 16 catches for 99 yards and 0 td","San Francisco 49ers / 6th / 180th pick / 1998"
"5","WR","Terrell Owens*+",28,"5",16,"93 catches for 1,412 yards, 16 td, & 4 rushes for 21 yards and 0 td","San Francisco 49ers / 3rd / 89th pick / 1996"
"6","WR","J.J. Stokes",29,"6",16,"54 catches for 585 yards, 7 td","San Francisco 49ers / 1st / 10th pick / 1995"
"7","TE","Eric Johnson",22,"Rook",14,"40 catches for 362 yards, 3 td","San Francisco 49ers / 7th / 224th pick / 2001"
"8","LT","Derrick Deese",31,"7",16,"1 fumble recovered",""
"9","LG","Ray Brown*",39,"15",16,"","St. Louis Cardinals / 8th / 201st pick / 1986"
"10","C","Jeremy Newberry*",25,"2",15,"","San Francisco 49ers / 2nd / 58th pick / 1998"
"11","RG","Dave Fiore",27,"3",16,"",""
"12","RT","Scott Gragg",29,"6",16,"1 fumble recovered","New York Giants / 2nd / 54th pick / 1995"
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Andre Carter",22,"Rook",15,"","San Francisco 49ers / 1st / 7th pick / 2001"
"15","DE","John Engelberger",25,"1",14,"","San Francisco 49ers / 2nd / 35th pick / 2000"
"16","LDT","Bryant Young*",29,"7",16,"3.5 sacks, 0 interceptions, 0 fumbles recovered","San Francisco 49ers / 1st / 7th pick / 1994"
"17","RDT","Dana Stubblefield",31,"8",16,"4.0 sacks, 0 interceptions, 0 fumbles recovered","San Francisco 49ers / 1st / 26th pick / 1993"
"18","LOLB","Julian Peterson",23,"1",14,"3.0 sacks, 0 interceptions, 2 fumbles recovered","San Francisco 49ers / 1st / 16th pick / 2000"
"19","LILB","Derek Smith",26,"4",14,"3.0 sacks, 1 interception, 2 fumbles recovered","Washington Redskins / 3rd / 80th pick / 1997"
"20","RILB","Jeff Ulbrich",24,"1",14,"0.5 sacks, 0 interceptions, 0 fumbles recovered","San Francisco 49ers / 3rd / 86th pick / 2000"
"21","SS","Lance Schulters",26,"3",16,"1.0 sacks, 3 interceptions, 2 fumbles recovered","San Francisco 49ers / 4th / 119th pick / 1998"
"22","FS","Zack Bronson",27,"4",16,"0.0 sacks, 7 interceptions, 1 fumble recovered",""
