"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Vinny Testaverde",27,"3",13,"203 for 365, 2,818 yards, 17 td, 18 int, & 38 rushes for 280 yards and 1 td","Tampa Bay Buccaneers / 1st / 1st pick / 1987"
"3","RB","Gary Anderson",29,"5",13,"166 rushes for 646 yards, 3 td, & 38 catches for 464 yards and 2 td","San Diego Chargers / 1st / 20th pick / 1983"
"4","FB","Reggie Cobb",22,"Rook",13,"151 rushes for 480 yards, 2 td, & 39 catches for 299 yards and 0 td","Tampa Bay Buccaneers / 2nd / 30th pick / 1990"
"5","WR","Mark Carrier",25,"3",16,"49 catches for 813 yards, 4 td","Tampa Bay Buccaneers / 3rd / 57th pick / 1987"
"6","WR","Bruce Hill",26,"3",13,"42 catches for 641 yards, 5 td, & 1 rush for 0 yards and 0 td","Tampa Bay Buccaneers / 4th / 106th pick / 1987"
"7","TE","Ron Hall",26,"3",16,"31 catches for 464 yards, 2 td","Tampa Bay Buccaneers / 4th / 87th pick / 1987"
"8","LT","Paul Gruber",25,"2",16,"1 fumble recovered","Tampa Bay Buccaneers / 1st / 4th pick / 1988"
"9","LG","Tom McHale",27,"3",7,"",""
"10","C","Randy Grimes",30,"7",15,"","Tampa Bay Buccaneers / 2nd / 45th pick / 1983"
"11","RG","Ian Beckles",23,"Rook",16,"","Tampa Bay Buccaneers / 5th / 114th pick / 1990"
"12","RT","Rob Taylor",30,"4",16,"1 fumble recovered","Philadelphia Eagles / 12th / 328th pick / 1982"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Reuben Davis",25,"2",16,"1.0 sacks, 0 interceptions, 1 fumble recovered","Tampa Bay Buccaneers / 9th / 225th pick / 1988"
"15","NT","Curt Jarvis",25,"3",7,"0.0 sacks, 0 interceptions, 1 fumble recovered","Tampa Bay Buccaneers / 7th / 169th pick / 1987"
"16","RDE","Jim Skow",27,"4",10,"2.0 sacks, 0 interceptions, 1 fumble recovered","Cincinnati Bengals / 3rd / 58th pick / 1986"
"17","LOLB","Broderick Thomas",23,"1",15,"7.5 sacks, 0 interceptions, 2 fumbles recovered","Tampa Bay Buccaneers / 1st / 6th pick / 1989"
"18","LILB","Eugene Marve",30,"8",16,"2.0 sacks, 0 interceptions, 1 fumble recovered","Buffalo Bills / 3rd / 59th pick / 1982"
"19","RILB","Winston Moss",25,"3",15,"3.5 sacks, 1 interception, 1 fumble recovered","Tampa Bay Buccaneers / 2nd / 50th pick / 1987"
"20","ROLB","Kevin Murphy",27,"4",7,"4.0 sacks, 0 interceptions, 0 fumbles recovered","Tampa Bay Buccaneers / 2nd / 40th pick / 1986"
"21","LCB","Ricky Reynolds",25,"3",15,"0.0 sacks, 3 interceptions, 2 fumbles recovered","Tampa Bay Buccaneers / 2nd / 36th pick / 1987"
"22","RCB","Wayne Haddix*",25,"3",16,"0.0 sacks, 7 interceptions, 0 fumbles recovered",""
"23","SS","Mark Robinson",28,"6",16,"0.0 sacks, 4 interceptions, 0 fumbles recovered","Kansas City Chiefs / 4th / 90th pick / 1984"
"24","FS","Harry Hamilton",28,"6",16,"0.0 sacks, 5 interceptions, 2 fumbles recovered","New York Jets / 7th / 176th pick / 1984"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Steve Christie",23,"Rook",0,"23 of 27 field goals & 27 of 27 extra points",""
"27","P","Mark Royals",25,"3",0,"72 punts for a 40.3 average, 0 blocked",""
"28","PR","Willie Drewrey",27,"5",1,"23 punt returns for a 8.0 average and 0 td","Houston Oilers / 11th / 281st pick / 1985"
"29","KR","Danny Peebles",24,"1",0,"18 kick returns for a 20.5 average and 0 td","Tampa Bay Buccaneers / 2nd / 33rd pick / 1989"
