"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Josh McCown",35,"12",11,"184 for 327, 2,206 yards, 11 td, 14 int, & 25 rushes for 127 yards and 3 td","Arizona Cardinals / 3rd / 81st pick / 2002"
"3","RB","Doug Martin",25,"2",11,"134 rushes for 494 yards, 2 td, & 13 catches for 64 yards and 0 td","Tampa Bay Buccaneers / 1st / 31st pick / 2012"
"4","WR","Mike Evans",21,"Rook",15,"68 catches for 1,051 yards, 12 td","Tampa Bay Buccaneers / 1st / 7th pick / 2014"
"5","WR","Vincent Jackson",31,"9",16,"70 catches for 1,002 yards, 2 td","San Diego Chargers / 2nd / 61st pick / 2005"
"6","TE","Austin Seferian-Jenkins",22,"Rook",9,"21 catches for 221 yards, 2 td","Tampa Bay Buccaneers / 2nd / 38th pick / 2014"
"7","LT","Anthony Collins",29,"6",10,"","Cincinnati Bengals / 4th / 112th pick / 2008"
"8","LG","Logan Mankins",32,"9",16,"","New England Patriots / 1st / 32nd pick / 2005"
"9","C","Evan Dietrich-Smith",28,"5",15,"",""
"10","RG","Patrick Omameh",25,"1",16,"",""
"11","RT","Demar Dotson",29,"5",16,"1 fumble recovered",""
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","William Gholston",23,"1",9,"","Tampa Bay Buccaneers / 4th / 126th pick / 2013"
"14","DE","Michael Johnson",27,"5",13,"","Cincinnati Bengals / 3rd / 70th pick / 2009"
"15","DT","Gerald McCoy*",26,"4",13,"","Tampa Bay Buccaneers / 1st / 3rd pick / 2010"
"16","DT","Clinton McDonald",27,"5",13,"","Cincinnati Bengals / 7th / 249th pick / 2009"
"17","MLB","Mason Foster",25,"3",10,"","Tampa Bay Buccaneers / 3rd / 84th pick / 2011"
"18","LB","Lavonte David",24,"2",14,"","Tampa Bay Buccaneers / 2nd / 58th pick / 2012"
"19","LB","Danny Lansanah",29,"6",11,"",""
"20","CB","Johnthan Banks",25,"1",14,"0.0 sacks, 4 interceptions, 0 fumbles recovered","Tampa Bay Buccaneers / 2nd / 43rd pick / 2013"
"21","CB","Alterraun Verner",26,"4",14,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Tennessee Titans / 4th / 104th pick / 2010"
"22","FS","Dashon Goldson",30,"7",14,"0.0 sacks, 0 interceptions, 1 fumble recovered","San Francisco 49ers / 4th / 126th pick / 2007"
