"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Mark Rypien",31,"5",10,"166 for 319, 1,514 yards, 4 td, 10 int, & 9 rushes for 4 yards and 3 td","Washington Redskins / 6th / 146th pick / 1986"
"3","RB","Reggie Brooks",22,"Rook",11,"223 rushes for 1,063 yards, 3 td, & 21 catches for 186 yards and 0 td","Washington Redskins / 2nd / 45th pick / 1993"
"4","WR","Tim McGee",29,"7",12,"39 catches for 500 yards, 3 td","Cincinnati Bengals / 1st / 21st pick / 1986"
"5","WR","Ricky Sanders",33,"7",11,"58 catches for 638 yards, 4 td, & 1 rush for 7 yards and 0 td","New England Patriots / 1st / 16th pick / 1984 Supp"
"6","TE","Ron Middleton",28,"7",16,"24 catches for 154 yards, 2 td",""
"7","TE","Frank Wycheck",22,"Rook",7,"16 catches for 113 yards, 0 td","Washington Redskins / 6th / 160th pick / 1993"
"8","LT","Mohammed Elewonibi",28,"1",15,"2 fumbles recovered","Washington Redskins / 3rd / 76th pick / 1990"
"9","LG","Ray Brown",31,"7",14,"","St. Louis Cardinals / 8th / 201st pick / 1986"
"10","C","Jeff Bostic",35,"13",10,"",""
"11","RG","Raleigh McKenzie",30,"8",16,"","Washington Redskins / 11th / 290th pick / 1985"
"12","RT","Ed Simmons",30,"6",13,"1 fumble recovered","Washington Redskins / 6th / 164th pick / 1987"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Charles Mann",32,"10",11,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Washington Redskins / 3rd / 84th pick / 1983"
"15","LDT","Bobby Wilson",25,"2",9,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Washington Redskins / 1st / 17th pick / 1991"
"16","RDT","Tim Johnson",28,"6",15,"4.0 sacks, 0 interceptions, 1 fumble recovered","Pittsburgh Steelers / 6th / 141st pick / 1987"
"17","RDE","Sterling Palmer",22,"Rook",10,"4.5 sacks, 0 interceptions, 0 fumbles recovered","Washington Redskins / 4th / 101st pick / 1993"
"18","LLB","Carl Banks",31,"9",15,"1.0 sacks, 0 interceptions, 1 fumble recovered","New York Giants / 1st / 3rd pick / 1984"
"19","MLB","Kurt Gouveia",29,"6",16,"1.5 sacks, 1 interception, 0 fumbles recovered","Washington Redskins / 8th / 213th pick / 1986"
"20","RLB","Andre Collins",25,"3",13,"6.0 sacks, 1 interception, 0 fumbles recovered","Washington Redskins / 2nd / 46th pick / 1990"
"21","LCB","Tom Carter",21,"Rook",11,"0.0 sacks, 6 interceptions, 0 fumbles recovered","Washington Redskins / 1st / 17th pick / 1993"
"22","RCB","Darrell Green",33,"10",16,"0.0 sacks, 4 interceptions, 2 fumbles recovered","Washington Redskins / 1st / 28th pick / 1983"
"23","SS","Danny Copeland",27,"4",14,"0.0 sacks, 1 interception, 0 fumbles recovered","Cleveland Browns / 9th / 244th pick / 1988"
"24","FS","Brad Edwards",27,"5",16,"0.0 sacks, 1 interception, 1 fumble recovered","Minnesota Vikings / 2nd / 54th pick / 1988"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Chip Lohmiller",27,"5",0,"16 of 28 field goals & 24 of 26 extra points","Washington Redskins / 2nd / 55th pick / 1988"
"27","P","Reggie Roby",32,"10",0,"78 punts for a 44.2 average, 0 blocked","Miami Dolphins / 6th / 167th pick / 1983"
"28","PR","Brian Mitchell",25,"3",4,"29 punt returns for a 6.7 average and 0 td","Washington Redskins / 5th / 130th pick / 1990"
"29","KR","Brian Mitchell",25,"3",4,"33 kick returns for a 20.5 average and 0 td","Washington Redskins / 5th / 130th pick / 1990"
