"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Brad Johnson",32,"6",11,"228 for 365, 2,505 yards, 11 td, 15 int, & 22 rushes for 58 yards and 1 td","Minnesota Vikings / 9th / 227th pick / 1992"
"3","RB","Stephen Davis*",26,"4",15,"332 rushes for 1,318 yards, 11 td, & 33 catches for 313 yards and 0 td","Washington Redskins / 4th / 102nd pick / 1996"
"4","TE","Stephen Alexander*",25,"2",16,"47 catches for 510 yards, 2 td","Washington Redskins / 2nd / 48th pick / 1998"
"5","LT","Chris Samuels",23,"Rook",16,"","Washington Redskins / 1st / 3rd pick / 2000"
"6","LG","Keith Sims",33,"10",13,"1 fumble recovered","Miami Dolphins / 2nd / 39th pick / 1990"
"7","C","Mark Fischer",26,"2",16,"","Washington Redskins / 5th / 140th pick / 1998"
"8","RT","Jon Jansen",24,"1",16,"","Washington Redskins / 2nd / 37th pick / 1999"
"9","","Defensive Starters",NA,"",NA,"",""
"10","DE","Marco Coleman*",31,"8",16,"","Miami Dolphins / 1st / 12th pick / 1992"
"11","DE","Bruce Smith",37,"15",16,"","Buffalo Bills / 1st / 1st pick / 1985"
"12","LDT","Dan Wilkinson",27,"6",16,"3.5 sacks, 0 interceptions, 0 fumbles recovered","Cincinnati Bengals / 1st / 1st pick / 1994"
"13","RDT","Dana Stubblefield",30,"7",14,"2.5 sacks, 0 interceptions, 1 fumble recovered","San Francisco 49ers / 1st / 26th pick / 1993"
"14","MLB","Derek Smith",25,"3",14,"1.0 sacks, 0 interceptions, 1 fumble recovered","Washington Redskins / 3rd / 80th pick / 1997"
"15","LB","Shawn Barber",25,"2",14,"","Washington Redskins / 4th / 113th pick / 1998"
"16","LCB","Champ Bailey*",22,"1",16,"0.0 sacks, 5 interceptions, 1 fumble recovered","Washington Redskins / 1st / 7th pick / 1999"
"17","RCB","Deion Sanders",33,"11",15,"0.0 sacks, 4 interceptions, 2 fumbles recovered","Atlanta Falcons / 1st / 5th pick / 1989"
"18","SS","Sam Shade",27,"5",14,"1.0 sacks, 2 interceptions, 4 fumbles recovered","Cincinnati Bengals / 4th / 102nd pick / 1995"
"19","FS","Mark Carrier",32,"10",15,"0.0 sacks, 1 interception, 0 fumbles recovered","Chicago Bears / 1st / 6th pick / 1990"
